id,category,subcategory,data_source,data_as_of,title
gdp_qtr_nominal,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Nominal GDP
gdp_qtr_nominal_demand,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Nominal GDP by Expenditure Type
gdp_qtr_nominal_demand_granular,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Nominal GDP by Expenditure Subtype
gdp_qtr_nominal_supply,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Nominal GDP by Economic Sector
gdp_qtr_nominal_supply_granular,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Nominal GDP by Economic Subsector
gdp_qtr_real,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Real GDP
gdp_qtr_real_demand,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Real GDP by Expenditure Type
gdp_qtr_real_demand_granular,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Real GDP by Expenditure Subtype
gdp_qtr_real_sa,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Real GDP (Seasonally Adjusted)
gdp_qtr_real_sa_demand,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Real GDP (Seasonally Adjusted) by Expenditure Type
gdp_qtr_real_sa_supply,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Real GDP (Seasonally Adjusted) by Economic Sector
gdp_qtr_real_supply,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Real GDP by Economic Sector
gdp_qtr_real_supply_granular,National Accounts,Gross Domestic Product,DOSM,2026-Q2,Quarterly Real GDP by Economic Subsector
gdp_state_real_supply,National Accounts,Gross Domestic Product,DOSM,2025,Annual Real GDP by State & Economic Sector
ghg_emissions,Environment,Pollution,NRES;DOSM,2021,Greenhouse Gas Emissions
government_apps,Public Administration,Digital Services,JDN;KD,2026-04-21 23:59,Transactional Data: Official Government Mobile Applications
government_apps_active,Public Administration,Digital Services,JDN;KD,2026-04-21 23:59,Number of Active Government Mobile Applications
government_apps_downloads,Public Administration,Digital Services,JDN;KD,2026-04-21 23:59,Downloads of Government Mobile Applications
government_apps_reviews,Public Administration,Digital Services,JDN;KD,2026-04-21 23:59,Transactional Data: User Reviews of Government Mobile Applications
healthcare_staff,Healthcare,Healthcare Infrastructure,MOH,2022-12-31 23:59,Healthcare Staff by State and Staff Type
hh_access_amenities,Households,Basic Amenities,DOSM,2024,Access to Basic Amenities by State & District
hh_expenditure_dun,Households,Expenditure,DOSM,2024,Household Expenditure by DUN
hh_expenditure_parlimen,Households,Expenditure,DOSM,2024,Household Expenditure by Parliament
hh_income,Households,Income,DOSM,2024,Household Income
hh_income_district,Households,Income,DOSM,2024,Household Income by Administrative District
hh_income_dun,Households,Income,DOSM,2024,Household Income by DUN
hh_income_parlimen,Households,Income,DOSM,2024,Household Income by Parliament
hh_income_state,Households,Income,DOSM,2024,Household Income by State
hh_inequality,Households,Inequality,DOSM,2024,Income Inequality
hh_inequality_district,Households,Inequality,DOSM,2024,Income Inequality by District
hh_inequality_dun,Households,Inequality,DOSM,2024,Income Inequality by DUN
hh_inequality_parlimen,Households,Inequality,DOSM,2024,Income Inequality by Parliament
hh_inequality_state,Households,Inequality,DOSM,2024,Income Inequality by State
hh_poverty,Households,Poverty,DOSM,2024,Poverty
hh_poverty_district,Households,Poverty,DOSM,2024,Poverty by Administrative District
hh_poverty_dun,Households,Poverty,DOSM,2024,Poverty by DUN
hh_poverty_parlimen,Households,Poverty,DOSM,2024,Poverty by Parliament
hh_poverty_state,Households,Poverty,DOSM,2024,Poverty by State
hh_profile,Households,Profile,DOSM,2024,Number of Households and Living Quarters
hh_profile_state,Households,Profile,DOSM,2024,Number of Households and Living Quarters by State
hies_district,Households,Expenditure,DOSM,2024,Household Income and Expenditure: Administrative Districts
hies_malaysia_percentile,Households,Income,DOSM,2024,Household Income by Percentile
hies_state,Households,Expenditure,DOSM,2024,Household Income and Expenditure: States
hies_state_percentile,Households,Income,DOSM,2024,Household Income by State & Percentile
hospital_beds,Healthcare,Healthcare Infrastructure,MOH,2022-12-31 23:59,Hospital Beds by State and Hospital Type
infant_immunisation,Healthcare,Healthcare Programs,MOH,2023,Infant Immunisation Coverage
interestrates,Financial Markets,Banking System,BNM,2026-06,Monthly Interest Rates
interestrates_annual,Financial Markets,Banking System,BNM,2025,Annual Interest Rates
iowrt,Economic Sectors,Services,DOSM,2026-07,Headline Wholesale & Retail Trade
iowrt_2d,Economic Sectors,Services,DOSM,2026-07,Wholesale & Retail Trade by Division (2 digit)
iowrt_3d,Economic Sectors,Services,DOSM,2026-07,Wholesale & Retail Trade by Group (3 digit)
ipi,Economic Sectors,Manufacturing,DOSM,2026-07,Industrial Production Index (IPI)
ipi_1d,Economic Sectors,Manufacturing,DOSM,2026-07,IPI by Section (1 digit)
ipi_2d,Economic Sectors,Manufacturing,DOSM,2026-07,IPI by Division (2 digit)
ipi_3d,Economic Sectors,Manufacturing,DOSM,2026-07,IPI by Group (3 digit)
ipi_5d,Economic Sectors,Manufacturing,DOSM,2026-07,IPI by Item (5 digit)
ipi_domestic,Economic Sectors,Manufacturing,DOSM,2026-07,IPI for Domestic-Oriented Divisions (2 digit)
ipi_export,Economic Sectors,Manufacturing,DOSM,2026-07,IPI for Export-Oriented Divisions (2 digit)
lecturers_uni,Education,Education Infrastructure,MOHE,2023,Lecturers in Public Universities by Citizenship & Sex
legal_advisory_branch,Public Safety,Justice,JBG,2024-12-31 23:59,Legal Advisory Services by Branch
legal_advisory_case_type,Public Safety,Justice,JBG,2024-12-31 23:59,Legal Advisory Services by Branch & Case Type
legal_advisory_category,Public Safety,Justice,JBG,2024-12-31 23:59,Legal Advisory Services by Branch & Category
legal_advisory_subcategory,Public Safety,Justice,JBG,2024-12-31 23:59,Legal Advisory Services by Branch & Subcategory
lfs_district,Labour Markets,Labour Force Survey,DOSM,2024,Annual Principal Labour Force Statistics by District
lfs_dun,Labour Markets,Labour Force Survey,DOSM,2023,Annual Principal Labour Force Statistics by DUN
lfs_month,Labour Markets,Labour Force Survey,DOSM,2026-07,Monthly Principal Labour Force Statistics
lfs_month_duration,Labour Markets,Labour Force Survey,DOSM,2026-06,Monthly Unemployment by Duration
lfs_month_sa,Labour Markets,Labour Force Survey,DOSM,2026-07,"Monthly Principal Labour Force Statistics, Seasonally Adjusted"
lfs_month_status,Labour Markets,Labour Force Survey,DOSM,2026-07,Monthly Employment by Status in Employment
lfs_month_youth,Labour Markets,Labour Force Survey,DOSM,2026-06,Monthly Youth Unemployment
lfs_parlimen,Labour Markets,Labour Force Survey,DOSM,2023,Annual Principal Labour Force Statistics by Parliament
lfs_qtr,Labour Markets,Labour Force Survey,DOSM,2025-Q3,Quarterly Principal Labour Force Statistics
lfs_qtr_sru_age,Labour Markets,Labour Force Survey,DOSM,2025-Q3,Quarterly Skills-Related Underemployment by Age
lfs_qtr_sru_sex,Labour Markets,Labour Force Survey,DOSM,2025-Q3,Quarterly Skills-Related Underemployment by Sex
lfs_qtr_state,Labour Markets,Labour Force Survey,DOSM,2025-Q3,Quarterly Principal Labour Force Statistics by State
lfs_qtr_tru_age,Labour Markets,Labour Force Survey,DOSM,2025-Q3,Quarterly Time-Related Underemployment by Age
lfs_qtr_tru_sex,Labour Markets,Labour Force Survey,DOSM,2025-Q3,Quarterly Time-Related Underemployment by Sex
lfs_state_sex,Labour Markets,Labour Force Survey,DOSM,2023,Annual Principal Labour Force Statistics by State & Sex
lfs_year,Labour Markets,Labour Force Survey,DOSM,2023,Annual Principal Labour Force Statistics
lfs_year_sex,Labour Markets,Labour Force Survey,DOSM,2023,Annual Principal Labour Force Statistics by Sex
local_authority_sex,Public Administration,Public Service,KPKT,2022,Female Representation in Local Authorities
lookup_federal_finance,Data Dictionaries,Internal,JANM,2024-01,Lookup Table: Federal Finance
lookup_item,Prices,Consumer Prices,KPDN;DOSM,2026-09-09 23:59,PriceCatcher: Item Lookup
lookup_money_banking,Data Dictionaries,Internal,BNM,2024-01,Lookup Table: Money & Banking
lookup_premise,Prices,Consumer Prices,KPDN;DOSM,2026-09-07 23:59,PriceCatcher: Premise Lookup
marriages,Demography,Marriage,DOSM,2022-12-31 23:59,Annual Marriages
marriages_age,Demography,Marriage,DOSM,2022-12-31 23:59,Annual Marriage by Age Group
marriages_state,Demography,Marriage,DOSM,2022-12-31 23:59,Annual Marriages by State
marriages_state_age,Demography,Marriage,DOSM,2022-12-31 23:59,Annual Marriage by State & Age Group
mcoicop,Data Dictionaries,National,DOSM,2018,MCOICOP
metrics_content,Metadata,Site Metrics,JDN;KD,2026-09-23 23:59,Number of Datasets on data.gov.my
metrics_dataset_cumul,Metadata,Site Metrics,JDN;KD,2026-09-23 23:59,Cumulative Views and Downloads by Dataset
mineral_extraction,Economic Sectors,Mining & Quarrying,JMG;DOSM,2021,Extraction of Minerals by State and Commodity
mnha,Healthcare,Healthcare Accounts,MOH,2022,MNHA: Total (TEH) and Current (CHE) Expenditure on Health
mnha_moh,Healthcare,Healthcare Accounts,MOH,2022,MNHA: MOH Expenditure on Health
monetary_aggregates,Financial Markets,Money Supply,BNM,2026-06,"Monetary Aggregates: M1, M2, M3"
msic,Data Dictionaries,National,DOSM,2008,MSIC
nutrition_children_sex,Healthcare,General Health,MOH,2019,Nutritional Status of Children Under 5 by Sex
nutrition_children_strata,Healthcare,General Health,MOH,2019,Nutritional Status of Children Under 5 by Strata
organ_pledge_demog,Healthcare,Healthcare Programs,NTRC;MOH,2026-09-23 23:59,"Organ Donation Pledges by Sex, Ethnicity and Age Group"
organ_pledge_demog_state,Healthcare,Healthcare Programs,NTRC;MOH,2026-09-23 23:59,"Organ Donation Pledges by State, Sex, Ethnicity and Age Group"
organ_pledges,Healthcare,Healthcare Programs,NTRC;MOH,2026-09-23 23:59,Daily Organ Donation Pledges
organ_pledges_state,Healthcare,Healthcare Programs,NTRC;MOH,2026-09-23 23:59,Daily Organ Donation Pledges by State
parliament_sex,Public Administration,Public Service,Parlimen,2022,Female Representation in Parliament
passports,Demography,Migration,Imigresen,2024-10-31 23:59,Monthly Passport Issuances by State and Branch
payment_channels,Financial Markets,Payments,BNM,2026-06,Monthly Usage of Payment Channels
payment_instruments,Financial Markets,Payments,BNM,2026-06,Monthly Usage of Payment Instruments
payment_systems,Financial Markets,Payments,BNM,2026-06,Monthly Usage of Payment Systems
pekab40_screenings,Healthcare,Healthcare Programs,PHCorp;MOH,2026-09-23 23:59,Daily PeKaB40 Health Screenings
pekab40_screenings_state,Healthcare,Healthcare Programs,PHCorp;MOH,2026-09-23 23:59,Daily PeKaB40 Health Screenings by State
pharmaceutical_importers,Healthcare,Regulation,NPRA;MOH,2026-09-20 23:59,Approved Importers of Pharmaceutical Products
pharmaceutical_manufacturers,Healthcare,Regulation,NPRA;MOH,2026-09-20 23:59,Approved Manufacturers of Pharmaceutical Products
pharmaceutical_products,Healthcare,Regulation,NPRA;MOH,2026-09-20 23:59,Approved Pharmaceutical Products
pharmaceutical_products_cancelled,Healthcare,Regulation,NPRA;MOH,2026-09-20 23:59,Cancelled Pharmaceutical Products
pharmaceutical_wholesalers,Healthcare,Regulation,NPRA;MOH,2026-09-20 23:59,Approved Wholesalers of Pharmaceutical Products
population_district,Demography,Population,DOSM,2025,Population Table: Administrative Districts
population_dun,Demography,Population,DOSM,2024,Population Table: State Legislative Assemblies (DUNs)
population_malaysia,Demography,Population,DOSM,2026,Population Table: Malaysia
population_parlimen,Demography,Population,DOSM,2024,Population Table: Parliamentary Constituencies
population_state,Demography,Population,DOSM,2026,Population Table: States
poskod,Data Dictionaries,National,MCMC,2026-06,Postcode Dataset
ppi,Prices,Producer Prices,DOSM,2026-07,Monthly Producer Price Index (PPI)
ppi_1d,Prices,Producer Prices,DOSM,2026-07,Monthly PPI by Section (1 digit)
ppi_2d,Prices,Producer Prices,DOSM,2026-07,Monthly PPI by Division (2 digit)
ppi_3d,Prices,Producer Prices,DOSM,2026-07,Monthly PPI by Group (3 digit)
ppi_sitc,Prices,Producer Prices,DOSM,2026-07,Monthly PPI by SITC Section (1 digit)
ppi_sop,Prices,Producer Prices,DOSM,2026-07,Monthly PPI by Stage of Processing
pricecatcher,Prices,Consumer Prices,KPDN;DOSM,2026-09-23 23:59,PriceCatcher: Transactional Records
prisoners_prison,Public Safety,Justice,Penjara,2022-12-31 23:59,Prisoners by Prison Centre and Sex
prisoners_state,Public Safety,Justice,Penjara,2022-12-31 23:59,Prisoners by State and Sex
productivity_annual,Labour Markets,Labour Productivity,DOSM,2025,Annual Productivity by Economic Sector
productivity_annual_priority,Labour Markets,Labour Productivity,DOSM,2025,Annual Productivity for Priority Subsectors
productivity_lookup,Labour Markets,Labour Productivity,DOSM,2025-Q4,Lookup Table: Labour Productivity
productivity_qtr,Labour Markets,Labour Productivity,DOSM,2025-Q4,Quarterly Productivity by Economic Sector
registration_transactions_all,Transportation,Vehicle Registrations,JPJ;MOT,2026-08-31 23:59,Vehicle Registration Transactions
registration_transactions_car,Transportation,Vehicle Registrations,JPJ;MOT,2026-08-31 23:59,Car Registration Transactions
registration_transactions_motorcycle,Transportation,Vehicle Registrations,JPJ;MOT,2026-08-31 23:59,Motorcycle Registration Transactions
registrations_type_fuel,Transportation,Vehicle Registrations,JPJ;MOT,2026-08-31 23:59,Monthly Vehicle Registrations by Vehicle and Fuel Type
ridership_headline,Transportation,Ridership,Prasarana;MOT,2026-08-31 23:59,Daily Public Transport Ridership
ridership_ktmb_daily,Transportation,Ridership,KTMB;MOT,2026-09-23 23:59,Daily KTMB Ridership
ridership_ktmb_monthly,Transportation,Ridership,KTMB;MOT,2026-08-31 23:59,Monthly KTMB Ridership
ridership_od_brt_daily,Transportation,Ridership,Prasarana;MOT,2026-09-22 23:59,Daily Origin-Destination Ridership: BRT Sunway Line
ridership_od_ets,Transportation,Ridership,KTMB;MOT,2026-09-23 23:59,Hourly Origin-Destination Ridership: ETS
ridership_od_intercity,Transportation,Ridership,KTMB;MOT,2026-09-23 23:59,Hourly Origin-Destination Ridership: Intercity
ridership_od_komuter,Transportation,Ridership,KTMB;MOT,2026-09-23 23:59,Hourly Origin-Destination Ridership: Komuter
ridership_od_komuter_utara,Transportation,Ridership,KTMB;MOT,2026-09-23 23:59,Hourly Origin-Destination Ridership: Komuter Utara
ridership_od_rapidrail_daily,Transportation,Ridership,Prasarana;MOT,2026-09-22 23:59,Daily Origin-Destination Ridership: Rapid Rail (KV)
ridership_od_shuttle_tebrau,Transportation,Ridership,KTMB;MOT,2026-09-23 23:59,Hourly Origin-Destination Ridership: Shuttle Tebrau
sanitation_access,Healthcare,Healthcare Infrastructure,MOH,2022,Access to Sanitary Latrines by State
schools_district,Education,Education Infrastructure,MOE,2025,Public Education Institutions by District
sdg_03-3-1,Statistical Indicators,SDG Indicators,MOH,2022,"SDG 03-3-1: HIV Incidence per 1,000 Uninfected Population"
sdg_04-6-1,Statistical Indicators,SDG Indicators,DOSM,2022,SDG 04-6-1: Proficiency in Functional Literacy and Numeracy
sdg_10-c-1,Statistical Indicators,SDG Indicators,DOSM;BNM,2022,SDG 10-C-1: Remittance Costs as a % of the Amount Remitted
sdg_16-1-1,Statistical Indicators,SDG Indicators,PDRM,2022,SDG 16-1-1: Victims of Intentional Homicide
sdg_16-2-2,Statistical Indicators,SDG Indicators,KDN,2022,SDG 16-2-2: Victims of Human Trafficking
sitc,Data Dictionaries,National,DOSM,2006,SITC
sitc_sop,Data Dictionaries,National,DOSM,2006,SITC: Stage of Processing
sppi,Prices,Producer Prices,DOSM,2026-Q2,Headline Services Producer Price Index (SPPI)
sppi_1d,Prices,Producer Prices,DOSM,2026-Q2,SPPI by Section (1 digit)
sppi_2d,Prices,Producer Prices,DOSM,2026-Q2,SPPI by Division (2 digits)
sppi_3d,Prices,Producer Prices,DOSM,2026-Q2,SPPI by Group (3 digits)
state_finance_expenditure,Public Administration,Public Finance,AUDIT,2022,State Government Expenditure
state_finance_revenue,Public Administration,Public Finance,AUDIT,2022,State Government Revenue
std_state,Healthcare,Infectious Diseases,MOH,2022,Sexually Transmitted Diseases (STDs) by State
stillbirths,Demography,Births,MOH;DOSM,2024,Annual Stillbirths
stillbirths_state,Demography,Births,MOH;DOSM,2024,Annual Stillbirths by State
teachers_district,Education,Education Infrastructure,MOE,2025,Teachers in Government Schools by District
timber_production,Economic Sectors,Agriculture,Perhutanan;DOSM,2021,Production of Major Timber Products by State
trade_enduse_bec,Economic Sectors,External Trade,DOSM,2026-07,Monthly Retained Imports by End Use and BEC
trade_headline,Economic Sectors,External Trade,DOSM,2026-07,Headline Monthly Trade in Goods
trade_sitc_1d,Economic Sectors,External Trade,DOSM,2026-07,Monthly Trade by SITC Section (1 digit)
trnsc_daily_directdebit,Financial Markets,Payments,PayNet;BNM,2026-09-23 23:59,Daily DirectDebit Transactions
